,compound,smiles,Cells,LogKpu,MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons
13,Compound 17 ,COC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC=C(C=C3)C(=O)NCC4CC4,HL60,-1.0,364.4450000000001,67.42999999999999,3.3942000000000014,2.0,3.0,7.0,0.9629629629629629,1.6666666666666667,2.2962962962962963,0.0,140.0
14,Compound 18 ,FC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC=C(C=C3)C(=O)NCC4CC4,HL60,-1.2006594505464183,352.4090000000001,58.2,3.524700000000001,2.0,2.0,6.0,0.9230769230769231,1.6153846153846154,2.269230769230769,0.0,134.0
15,Compound 19 ,CC1=C(F)C=C(C=C1C2=CC=C(C=C2)C(=O)NCC3CC3)C(=O)NC4CC4,HL60,-0.5228787452803376,366.4360000000002,58.2,3.8331200000000027,2.0,2.0,6.0,1.0,1.7037037037037037,2.3333333333333335,0.0,140.0
16,Compound 2 ,C[C@H](NC(=O)C1=CN=C(C=C1)C2=C(C)C(=CC(=C2)C(=O)NC3CC3)F)C(C)(C)C,HL60,-1.3979400086720375,397.49400000000014,71.09,4.252720000000004,2.0,3.0,5.0,1.1379310344827587,1.8275862068965518,2.3793103448275863,0.0,154.0
17,Compound 20 ,COCCNC(=O)C1=CC=C(C=C1)C2=C(C)C(=CC(=C2)C(=O)NC3CC3)F,HL60,-1.0861861476162833,370.4240000000001,67.42999999999999,3.0695200000000007,2.0,3.0,7.0,1.1111111111111112,1.8148148148148149,2.4444444444444446,0.0,142.0
18,Compound 21 ,CCOC(=O)N1CCC(CC1)[N]2C=NC(=C2C3=CC=NC(=N3)N)C4=CC=C(F)C=C4,HL60,-0.958607314841775,410.4530000000001,99.16,3.5218000000000016,1.0,7.0,4.0,1.2,1.9333333333333333,2.6,0.0,156.0
19,Compound 22 ,NC1=NC(=CC=N1)C2=C(N=C[N]2C3CCN(CC3)CC4=CC=CC=C4)C5=CC=C(F)C=C5,HL60,-0.3467874862246563,428.51500000000004,72.86,4.5655000000000046,1.0,6.0,5.0,0.9375,1.6875,2.40625,0.0,162.0
20,Compound 23 ,CCNC1=NC=CC(=N1)C2=C(N=C[N]2C3CCN(C)CC3)C4=CC=C(F)C=C4,HL60,-0.14266750356873156,380.4710000000001,58.870000000000005,3.8447000000000022,1.0,6.0,5.0,1.1071428571428572,1.8571428571428572,2.5714285714285716,0.0,146.0
21,Compound 24 ,CNC1=NC(=CC=N1)C2=C(N=C[N]2C3CCNCC3)C4=CC=C(F)C=C4,HL60,-0.11350927482751812,352.41700000000003,67.66,3.112400000000002,2.0,6.0,4.0,1.1153846153846154,1.8846153846153846,2.6153846153846154,0.0,134.0
22,Compound 25 ,CNC1=NC=CC(=N1)C2=C(N=C[N]2[C@H]3CC[C@H](O)CC3)C4=CC=C(F)C=C4,HL60,-1.2006594505464183,367.4280000000001,75.86,3.6639000000000026,2.0,6.0,4.0,1.0740740740740742,1.8148148148148149,2.5185185185185186,0.0,140.0
23,Compound 26 ,FC1=CC=C(C=C1)C2=C([N](C=N2)C3CCNCC3)C4=CC=NC=C4,HL60,-0.44369749923271273,322.387,42.74,3.6757000000000017,1.0,4.0,3.0,0.9583333333333334,1.6666666666666667,2.375,0.0,122.0
24,Compound 27 ,NC1=NC=CC(=N1)C2=C(N=C[N]2C3CCN(CC3)CC(F)(F)F)C4=CC=C(F)C=C4,HL60,-0.8239087409443188,420.414,72.86,3.9276000000000035,1.0,6.0,4.0,1.0333333333333334,1.7333333333333334,2.3666666666666667,0.0,158.0
25,Compound 28 ,FC1=CC=C(C=C1)C2=C([N](C=N2)C3CCNCC3)C4=NC(=NC=C4)NC5=CC=CC=C5,HL60,-0.25181197299379954,414.48800000000006,67.66,4.814300000000003,2.0,6.0,5.0,0.9354838709677419,1.7096774193548387,2.4838709677419355,0.0,156.0
26,Compound 29 ,COC1=NC=CC(=N1)C2=C(N=C[N]2[C@H]3CC[C@H](O)CC3)C4=CC=C(F)C=C4,HL60,-1.207608310501746,368.41200000000015,73.06,3.6308000000000025,1.0,6.0,4.0,1.0740740740740742,1.8148148148148149,2.5185185185185186,0.0,140.0
27,Compound 3 ,OC1=C(CNC(=O)C2=CC(=C[NH]2)C(=O)C3=C(F)C=C(F)C=C3)C=CC=C1,HL60,-0.13076828026902382,356.328,82.19,3.1595000000000013,3.0,3.0,5.0,1.0769230769230769,1.8461538461538463,2.576923076923077,0.0,132.0
28,Compound 30 ,CC(C)OC1=NC=CC(=N1)C2=C(N=C[N]2C3CCNCC3)C4=CC=C(F)C=C4,HL60,-0.10790539730951958,381.4550000000001,64.86,3.8579000000000025,1.0,6.0,5.0,1.1071428571428572,1.8571428571428572,2.5714285714285716,0.0,146.0
29,Compound 31 ,O[C@H]1CC[C@@H](CC1)[N]2C=NC(=C2C3=NC(=NC=C3)OC4=CC=CC=C4)C5=CC=C(F)C=C5,HL60,-0.5686362358410126,430.4830000000001,73.06,5.414500000000005,1.0,6.0,5.0,0.90625,1.65625,2.40625,0.0,162.0
30,Compound 32 ,CCOC1=NC=CC(=N1)C2=C(N=C[N]2C3CCNCC3)C4=CC=C(F)C=C4,HL60,-0.36653154442041347,367.4280000000001,64.86,3.469400000000002,1.0,6.0,5.0,1.1481481481481481,1.9259259259259258,2.6666666666666665,0.0,140.0
31,Compound 33 ,NC(=O)C1=CC(=CC=C1)OC2=NC=CC(=N2)C3=C(N=C[N]3C4CCNCC4)C5=CC=C(F)C=C5,HL60,-1.431798275933005,458.4970000000002,107.95000000000002,3.9619000000000026,2.0,7.0,6.0,1.088235294117647,1.8823529411764706,2.6470588235294117,0.0,172.0
32,Compound 34 ,COC1=NC=CC(=N1)C2=C(N=C[N]2CCCN3CCOCC3)C4=CC=C(F)C=C4,HL60,-1.5086383061657274,397.4540000000002,65.30000000000001,2.8771000000000013,0.0,7.0,7.0,1.0689655172413792,1.8620689655172413,2.6206896551724137,0.0,152.0
33,Compound 35 ,CC1=CC(=C(C)C=C1)OC2=NC=CC(=N2)C3=C(N=C[N]3C4CCNCC4)C5=CC=C(F)C=C5,HL60,-0.46852108295774486,443.52600000000024,64.86,5.479840000000005,1.0,6.0,5.0,1.0,1.7878787878787878,2.5757575757575757,0.0,168.0
34,Compound 36 ,CCOC1=CC(C(=O)N[C@@H](CC2=CC=CC=C2)[C@H](O)CNCC2=CC=CC(CC)=C2)=C(F)C(=C1)C1=C(C=CC=C1)C(N)=O,SH-5Y,-0.619788758288394,583.7040000000003,113.68,5.044500000000004,4.0,5.0,14.0,0.8604651162790697,1.558139534883721,2.2790697674418605,0.0,224.0
35,Compound 37 ,CCNC1=CC(C(=O)N[C@@H](CC2=CC=CC=C2)[C@H](O)CNCC2=CC=CC(=C2)C(F)(F)F)=C(F)C(=C1)N1CCCCS1(=O)=O,SH-5Y,-0.36653154442041347,636.7119999999999,110.76999999999998,4.698100000000004,4.0,6.0,12.0,1.0227272727272727,1.75,2.4318181818181817,0.0,238.0
36,Compound 39 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CC1,SH-5Y,-0.6020599913279624,510.66000000000025,103.67,2.4373000000000005,3.0,6.0,9.0,1.1944444444444444,1.9444444444444444,2.638888888888889,0.0,192.0
37,Compound 4 ,CC(C)[C@@H](C)NC(=O)C1=CN=C(C=C1)C2=C(C)C(=CC(=C2)C(=O)NC3CC3)F,HL60,-1.1191864077192086,383.46700000000016,71.09,3.8626200000000024,2.0,3.0,6.0,1.1071428571428572,1.8214285714285714,2.392857142857143,0.0,148.0
38,Compound 40 ,CC(C)C1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CCOCC1,SH-5Y,-0.5686362358410126,568.74,112.9,3.0149000000000017,3.0,7.0,9.0,1.15,1.875,2.575,0.0,216.0
39,Compound 41 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC(F)=CC(F)=C1)[C@H](O)CNC1CCOCC1,SH-5Y,-0.42021640338318983,590.693,112.9,2.732100000000001,3.0,7.0,9.0,1.146341463414634,1.853658536585366,2.5365853658536586,0.0,222.0
40,Compound 42 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCC1=CC=CC=C1,SH-5Y,-0.431798275933005,560.7200000000003,103.67,3.475100000000002,3.0,6.0,10.0,1.025,1.7,2.375,0.0,210.0
41,Compound 43 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN[C@@H]1CCOC(C)(C)C1,SH-5Y,-0.2218487496163564,582.767,112.9,3.2325000000000017,3.0,7.0,9.0,1.2195121951219512,1.975609756097561,2.682926829268293,0.0,222.0
42,Compound 44 ,COC1=CC(CNC[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)C2=C(F)C(=CC(NC(C)C)=C2)N2CCCCS2(=O)=O)=CC=C1,SH-5Y,0.04139268515822508,612.7680000000004,120.0,4.076400000000003,4.0,7.0,13.0,1.0465116279069768,1.7906976744186047,2.488372093023256,0.0,232.0
43,Compound 45 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CCC(F)(F)CC1,SH-5Y,-0.36653154442041347,588.7210000000002,103.67,3.852800000000003,3.0,6.0,9.0,1.170731707317073,1.8780487804878048,2.5609756097560976,0.0,222.0
44,Compound 46 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)CNCC1=CC=CC(OC)=C1,SH-5Y,0.38021124171160603,588.7300000000002,109.74,3.691900000000002,2.0,7.0,11.0,1.0238095238095237,1.7857142857142858,2.5238095238095237,0.0,220.0
45,Compound 47 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCC#C,SH-5Y,0.505149978319906,508.64400000000023,103.67,1.9081,3.0,6.0,9.0,1.25,2.0,2.6944444444444446,0.0,190.0
46,Compound 48 ,CCNC1=CC(C(=O)N[C@@H](CC2=CC=CC=C2)[C@H](O)CNC2CCOCC2)=C(F)C(=C1)N1CCCCS1(=O)=O,SH-5Y,-0.03151705144606486,562.7080000000004,120.0,2.6581,4.0,7.0,11.0,1.1794871794871795,1.9230769230769231,2.6153846153846154,0.0,214.0
47,Compound 49 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CC(C)(C)CC(C)(C)C1,SH-5Y,,608.8489999999999,103.67,4.879800000000004,3.0,6.0,9.0,1.0930232558139534,1.7674418604651163,2.4186046511627906,0.0,234.0
48,Compound 5 ,CC(C)[C@H](C)NC(=O)C1=CN=C(C=C1)C2=C(C)C(=CC(=C2)C(=O)NC3CC3)F,HL60,-1.3767507096020994,383.46700000000016,71.09,3.8626200000000024,2.0,3.0,6.0,1.1071428571428572,1.8214285714285714,2.392857142857143,0.0,148.0
49,Compound 50 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCCC(F)(F)F,SH-5Y,-0.13076828026902382,566.6460000000004,103.67,3.2273000000000014,3.0,6.0,10.0,1.1794871794871795,1.8974358974358974,2.5641025641025643,0.0,212.0
50,Compound 51 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1(CCCCC1)C#C,SH-5Y,-0.23657200643706275,576.763,103.67,3.6110000000000015,3.0,6.0,9.0,1.170731707317073,1.9024390243902438,2.5853658536585367,0.0,218.0
51,Compound 52 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1(C)CCCCC1,SH-5Y,-0.022276394711152253,566.768,103.67,3.9977000000000027,3.0,6.0,9.0,1.125,1.85,2.55,0.0,216.0
52,Compound 53 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCCOCC(F)(F)F,SH-5Y,-0.7958800173440752,596.6720000000003,112.9,2.8538000000000006,3.0,7.0,12.0,1.1951219512195121,1.9268292682926829,2.6097560975609757,0.0,224.0
53,Compound 54 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1=C(C)C=CC=C1,SH-5Y,-0.619788758288394,560.7200000000003,103.67,4.105820000000003,3.0,6.0,9.0,1.075,1.8,2.525,0.0,210.0
54,Compound 55 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1=C(OC)C=CC=C1,SH-5Y,-0.06550154875643228,576.7190000000003,112.9,3.8060000000000027,3.0,7.0,10.0,1.0975609756097562,1.829268292682927,2.5609756097560976,0.0,216.0
55,Compound 56 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CC1,SH-5Y,-0.744727494896694,510.66000000000025,103.67,2.4373000000000005,3.0,6.0,9.0,1.1944444444444444,1.9444444444444444,2.638888888888889,0.0,192.0
56,Compound 57 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCC(C)=C,SH-5Y,-0.3279021420642826,524.6870000000002,103.67,2.851000000000001,3.0,6.0,10.0,1.2162162162162162,1.945945945945946,2.6216216216216215,0.0,198.0
57,Compound 58 ,CCN1C=C2CCS(=O)(=O)N(CC)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1CCCCC1,SH-5Y,-0.6989700043360187,566.7679999999999,103.67,3.9977000000000027,3.0,6.0,10.0,1.075,1.825,2.525,0.0,216.0
58,Compound 59 ,CCCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCC1=CC=CC(OC)=C1,SH-5Y,-0.3010299956639812,604.7730000000003,112.9,3.873800000000003,3.0,7.0,12.0,1.069767441860465,1.8372093023255813,2.5813953488372094,0.0,228.0
59,Compound 6 ,COC1=C(CNC(=O)C2=CC(=C[NH]2)C(=O)C3=C(C)C=CC=C3)C=CC=C1,HL60,,348.40200000000004,71.19,3.492720000000002,2.0,3.0,6.0,1.0769230769230769,1.8076923076923077,2.576923076923077,0.0,132.0
60,Compound 60 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC1=C(C)C=C(C)C=C1,SH-5Y,-0.6777807052660807,574.7470000000002,103.67,4.414240000000004,3.0,6.0,9.0,1.0731707317073171,1.829268292682927,2.5365853658536586,0.0,216.0
61,Compound 61 ,CCN1C=C2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN[C@@H](C)C(=O)NC1CCCCC1,SH-5Y,-0.24412514432750865,623.8199999999998,132.77,3.112300000000002,4.0,7.0,11.0,1.0909090909090908,1.8181818181818181,2.522727272727273,0.0,238.0
62,Compound 62 ,CCC1=CN2CCS(=O)(=O)N(C)C3=C2C1=CC(=C3)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNC(C)(C)C#C,SH-5Y,0.4913616938342727,536.6980000000002,103.67,2.686700000000001,3.0,6.0,9.0,1.236842105263158,1.9473684210526316,2.6052631578947367,0.0,202.0
63,Compound 63 ,O[C@H](CNCC1=CC=CC(=C1)C(F)(F)F)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN(=O)=CC(OCC2CC2)=C1,SH-5Y,-0.21467016498923297,529.5590000000002,97.53,3.6194000000000015,3.0,5.0,12.0,1.0789473684210527,1.8157894736842106,2.526315789473684,0.0,202.0
64,Compound 64 ,CC1=C(C(=O)CC1)C1=CC(OCC2CC2)=CC(=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CNCCC(F)(F)F,SH-5Y,0.04139268515822508,544.6140000000003,87.66000000000001,4.855800000000004,3.0,5.0,13.0,1.1282051282051282,1.8717948717948718,2.5128205128205128,0.0,210.0
65,Compound 65 ,CCNC1=CC(C(=O)N[C@@H](CC2=CC=CC=C2)[C@H](O)CNCCC(F)(F)F)=C(F)C(=C1)N1CCCCS1(=O)=O,SH-5Y,-0.3098039199714863,574.6410000000003,110.76999999999998,3.4315000000000024,4.0,6.0,12.0,1.1538461538461537,1.8717948717948718,2.5128205128205128,0.0,216.0
66,Compound 7 ,CC1=CC2=C(C3=CC=NC=C3)C(=N[N]2C=C1)C4=CC=C(F)C=C4,HL60,-1.0,303.34000000000003,30.19,4.5108200000000025,0.0,3.0,2.0,0.9130434782608695,1.6521739130434783,2.391304347826087,0.0,112.0
67,Compound 8 ,FC1=CC=C(C=C1)C2=N[N]3C=CC=C(F)C3=C2C4=CC=NC=C4,HL60,-1.0555173278498313,307.303,30.19,4.341500000000003,0.0,3.0,2.0,0.8260869565217391,1.565217391304348,2.3043478260869565,0.0,112.0
68,Compound 9 ,FC1=CC=C(C=C1)C2=N[N]3C(=CC=CC3=C2C4=CC=NC=C4)OCC(F)(F)F,HL60,-0.8538719643217619,387.33600000000007,39.42,5.143500000000002,0.0,4.0,4.0,0.8928571428571429,1.6071428571428572,2.2857142857142856,0.0,142.0
69,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,HEK293,0.6232492903979004,296.153,49.33,4.364100000000001,2.0,2.0,4.0,1.0526315789473684,1.6842105263157894,2.3157894736842106,0.0,98.0
70,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,HEK293,0.47712125471966244,414.52700000000016,59.080000000000005,3.368500000000002,0.0,6.0,6.0,1.1379310344827587,1.8275862068965518,2.4482758620689653,0.0,154.0
71,Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,HEK293,-0.7958800173440752,376.45300000000026,95.94000000000001,1.6046,2.0,5.0,9.0,1.2962962962962963,2.0,2.6296296296296298,0.0,148.0
72,Fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,HEK293,-1.00436480540245,501.66700000000014,81.0,5.510500000000006,3.0,4.0,10.0,0.8648648648648649,1.3783783783783783,1.864864864864865,0.0,196.0
73,Fluvastatin,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,HEK293,-0.03151705144606486,411.473,82.69,4.628100000000003,3.0,4.0,8.0,1.1,1.7666666666666666,2.4,0.0,158.0
74,GSK1007102B ,CC[N]1C2=C(N=C1C3=NON=C3N)C(=NC(=C2)O[C@@H](CN)C4=CC=CC=C4)C#CC(C)(C)O.OC(=O)C(F)(F)F,HEK293,1.146128035678238,561.5210000000004,188.42999999999998,2.917900000000001,4.0,11.0,6.0,1.2,1.85,2.35,0.0,212.0
75,GSK1023156A ,NC(=O)C1=C(OCC2=C(Br)C=CC=C2)C=C(S1)[N]3C=NC4=C3C=CC=C4,HEK293,0.146128035678238,428.3110000000001,70.14000000000001,4.527400000000003,1.0,5.0,5.0,1.1923076923076923,1.9615384615384615,2.769230769230769,0.0,130.0
76,GSK1030059A ,COC1=C(OC)C=C2[N](C=NC2=C1)C3=CC(=C(S3)C(C)=O)OCC4=C(C=CC=C4)C(F)(F)F,HEK293,-0.42021640338318983,476.47600000000017,62.58,5.904600000000004,0.0,7.0,7.0,1.0606060606060606,1.7575757575757576,2.4242424242424243,0.0,172.0
77,GSK204925A ,COC1=C(OC)C=C2[N](C=NC2=C1)C3=CC(=C(S3)C(N)=O)OCCC4=CC=CC=C4,HEK293,0.0,423.4940000000002,88.60000000000001,3.824600000000002,1.0,7.0,8.0,1.0666666666666667,1.8,2.5,0.0,154.0
78,GSK237700A ,COC1=C(OC)C=C2[N](C=NC2=C1)C3=CC(=C(S3)C(N)=O)O[C@@H](C)C4=C(Cl)C=CC=C4,HEK293,0.25527250510330607,457.9390000000002,88.60000000000001,4.996500000000004,1.0,7.0,7.0,1.1290322580645162,1.8387096774193548,2.5161290322580645,0.0,160.0
79,GSK237701A ,COC1=C(OC)C=C2[N](C=NC2=C1)C3=CC(=C(S3)C(N)=O)O[C@H](C)C4=C(Cl)C=CC=C4,HEK293,0.3424226808222063,457.9390000000002,88.60000000000001,4.996500000000004,1.0,7.0,7.0,1.1290322580645162,1.8387096774193548,2.5161290322580645,0.0,160.0
80,GSK312948A ,COC1=C(OC)C=C2[N](C=NC2=C1)C3=CC(=C(S3)C(N)=O)OCC4=CC=CS4,HEK293,-0.20760831050174613,415.49600000000015,88.60000000000001,3.843600000000002,1.0,8.0,7.0,1.1785714285714286,1.9642857142857142,2.642857142857143,0.0,144.0
81,GSK317314A ,COC1=CC2=C(C=C1)N=C[N]2C3=CC(=C(S3)C(N)=O)O[C@H](C)C4=C(Cl)C=CC=C4,HEK293,0.0,427.9130000000001,79.37,4.987900000000003,1.0,6.0,6.0,1.2413793103448276,2.0344827586206895,2.7586206896551726,0.0,148.0
82,GSK317315A ,COC1=CC2=C(C=C1)N=C[N]2C3=CC(=C(S3)C(N)=O)O[C@H](C)C4=C(C=CC=C4)C(F)(F)F,HEK293,-0.045757490560675115,461.46500000000015,79.37,5.353300000000003,1.0,6.0,6.0,1.1875,1.9375,2.625,0.0,166.0
83,GSK326090A ,C[C@@H](OC1=C(SC(=C1)[N]2C=NC3=C2C=C(OCC4CCN(C)CC4)C=C3)C(N)=O)C5=C(C=CC=C5)C(F)(F)F,HEK293,0.17609125905568124,558.6260000000004,82.61000000000001,6.065300000000006,1.0,7.0,8.0,1.1794871794871795,1.9230769230769231,2.641025641025641,0.0,206.0
84,GSK571989A ,C[C@@H](OC1=C(SC(=C1)[N]2C=NC3=C2C=C(OCC4CCN(C)CC4)C=C3)C(N)=O)C5=C(Cl)C=CC=C5,HEK293,0.5563025007672873,525.0740000000003,82.61000000000001,5.699900000000005,1.0,7.0,8.0,1.2222222222222223,2.0,2.75,0.0,188.0
85,GSK579289A ,C[C@@H](OC1=C(SC(=C1)[N]2C=NC3=C2C=C(OC4CCN(C)CC4)C=C3)C(N)=O)C5=C(Cl)C=CC=C5,HEK293,0.8512583487190752,511.04700000000037,82.61000000000001,5.452300000000005,1.0,7.0,7.0,1.2,1.9714285714285715,2.7142857142857144,0.0,182.0
86,GSK614526A ,CC[N]1C(=NC2=C1C(=CN=C2C#CC(C)(C)O)OC[C@@H]3CCCN3)C4=NON=C4N.OC(=O)C(F)(F)F,HEK293,1.3222192947339193,525.4880000000003,174.44,1.9698999999999993,4.0,11.0,5.0,1.3783783783783783,2.081081081081081,2.5945945945945947,0.0,200.0
